iter	Passed	Remaining
570	2409	1810
571	2414	1806
572	2416	1800
573	2419	1795
574	2422	1790
575	2424	1784
576	2429	1781
577	2432	1775
578	2434	1770
579	2437	1764
580	2440	1759
581	2443	1755
582	2447	1750
583	2450	1745
584	2453	1740
585	2456	1735
586	2459	1730
587	2462	1725
588	2464	1719
589	2468	1715
590	2473	1711
591	2477	1707
592	2480	1702
593	2482	1696
594	2485	1691
595	2491	1688
596	2494	1683
597	2497	1678
598	2501	1674
599	2505	1670
600	2509	1665
601	2511	1660
602	2514	1655
603	2519	1651
604	2521	1646
605	2524	1641
606	2527	1636
607	2539	1637
608	2543	1632
609	2547	1629
610	2550	1623
611	2553	1618
612	2556	1613
613	2559	1608
614	2563	1604
615	2566	1599
616	2569	1594
617	2571	1589
618	2574	1584
619	2578	1580
620	2581	1575
621	2584	1570
622	2587	1565
623	2590	1560
624	2593	1556
625	2596	1551
626	2599	1546
627	2601	1541
628	2604	1536
629	2606	1530
630	2611	1527
631	2613	1521
632	2617	1517
633	2620	1512
634	2622	1507
635	2625	1502
636	2629	1498
637	2632	1493
638	2634	1488
639	2637	1483
640	2640	1478
641	2642	1473
642	2646	1469
643	2650	1465
644	2654	1460
645	2656	1455
646	2660	1451
647	2665	1447
648	2669	1443
649	2672	1438
650	2676	1435
651	2680	1430
652	2686	1427
653	2690	1423
654	2695	1419
655	2701	1416
656	2704	1412
657	2707	1407
658	2709	1402
659	2712	1397
660	2717	1393
661	2721	1389
662	2724	1384
663	2727	1380
664	2731	1376
665	2734	1371
666	2737	1366
667	2739	1361
668	2742	1357
669	2747	1353
670	2750	1348
671	2752	1343
672	2755	1338
673	2759	1334
674	2762	1330
675	2765	1325
676	2767	1320
677	2770	1315
678	2773	1311
679	2777	1306
680	2779	1302
681	2782	1297
682	2785	1292
683	2787	1288
684	2790	1283
685	2794	1279
686	2797	1274
687	2800	1269
688	2802	1264
689	2805	1260
690	2809	1256
691	2814	1252
692	2816	1247
693	2819	1243
694	2823	1238
695	2825	1234
696	2829	1229
697	2832	1225
698	2835	1220
699	2839	1216
700	2843	1212
701	2846	1208
702	2848	1203
703	2851	1198
704	2856	1195
705	2860	1191
706	2862	1186
707	2865	1181
708	2872	1179
709	2875	1174
710	2878	1170
711	2881	1165
712	2887	1162
713	2890	1157
714	2892	1153
715	2895	1148
716	2897	1143
717	2902	1140
718	2905	1135
719	2908	1131
720	2911	1126
721	2915	1122
722	2918	1118
723	2921	1113
724	2924	1109
725	2927	1104
726	2931	1100
727	2934	1096
728	2936	1091
729	2939	1087
730	2942	1082
731	2946	1078
732	2949	1074
733	2952	1069
734	2954	1065
735	2957	1060
736	2962	1057
737	2964	1052
738	2967	1048
739	2970	1043
740	2973	1039
741	2978	1035
742	2981	1031
743	2984	1026
744	2987	1022
